congress,number,title,format,url,filename,status
116,13,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/116/bills/sres13/BILLS-116sres13ats.xml,116_sres13.xml,exists
116,21,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/116/bills/sres21/BILLS-116sres21ats.xml,116_sres21.xml,exists
116,459,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/116/bills/sres459/BILLS-116sres459ats.xml,116_sres459.xml,exists
116,464,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/116/bills/sres464/BILLS-116sres464ats.xml,116_sres464.xml,exists
116,584,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/116/bills/sres584/BILLS-116sres584ats.xml,116_sres584.xml,exists
117,32,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Seventeenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/117/bills/sres32/BILLS-117sres32ats.xml,117_sres32.xml,exists
117,28,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Seventeenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/117/bills/sres28/BILLS-117sres28ats.xml,117_sres28.xml,exists
118,31,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Eighteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/118/bills/sres31/BILLS-118sres31ats.xml,118_sres31.xml,exists
118,30,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eighteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/118/bills/sres30/BILLS-118sres30ats.xml,118_sres30.xml,exists
118,370,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eighteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/118/bills/sres370/BILLS-118sres370ats.xml,118_sres370.xml,exists
118,411,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eighteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/118/bills/sres411/BILLS-118sres411ats.xml,118_sres411.xml,exists
118,807,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eighteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/118/bills/sres807/BILLS-118sres807ats.xml,118_sres807.xml,exists
118,926,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eighteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/118/bills/sres926/BILLS-118sres926ats.xml,118_sres926.xml,exists
119,17,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Nineteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/119/bills/sres17/BILLS-119sres17ats.xml,119_sres17.xml,exists
119,16,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Nineteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/119/bills/sres16/BILLS-119sres16ats.xml,119_sres16.xml,exists
119,26,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Nineteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/119/bills/sres26/BILLS-119sres26ats.xml,119_sres26.xml,exists
119,38,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Nineteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/119/bills/sres38/BILLS-119sres38ats.xml,119_sres38.xml,exists
119,664,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Nineteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/119/bills/sres664/BILLS-119sres664ats.xml,119_sres664.xml,exists
