congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,district,party,committee_name,committee_code,committee_rank,role,resolution,resolution_date,cr_citation,resignation_date
116,2020-07-30,False,2021-01-03,,G000590,Mark E. Green,TN,7,R,Foreign Affairs,FA00,1,,H.Res.1072,2020-07-30,,
116,2020-07-30,False,2021-01-03,,S001212,Pete Stauber,MN,8,R,Natural Resources,II00,1,,H.Res.1072,2020-07-30,,
116,2020-09-22,False,2021-01-03,,B001300,Nanette Diaz Barragán,CA,44,D,Natural Resources,II00,1,,H.Res.1135,2020-09-22,,
116,2020-09-22,False,2021-01-03,,R000588,Cedric L. Richmond,LA,2,D,Ways and Means,WM00,1,,H.Res.1135,2020-09-22,,
117,2021-01-04,False,2023-01-03,,B000755,Kevin Brady,TX,8,R,Ways and Means,WM00,1,,H.Res.10,2021-01-04,,
117,2021-01-04,False,2023-01-03,,B001295,Mike Bost,IL,12,R,Veterans' Affairs,VR00,1,,H.Res.10,2021-01-04,,
117,2021-01-04,False,2023-01-03,,C001108,James Comer,KY,1,R,Oversight and Government Reform,GO00,1,,H.Res.10,2021-01-04,,
117,2021-01-04,False,2023-01-03,,D000191,Peter A. DeFazio,OR,4,D,Transportation and Infrastructure,PW00,1,Chair,H.Res.9,2021-01-04,,
117,2021-01-04,False,2023-01-03,,D000216,Rosa L. DeLauro,CT,3,D,Appropriations,AP00,1,Chair,H.Res.9,2021-01-04,,
117,2021-01-04,False,2023-01-03,,F000450,Virginia Foxx,NC,5,R,Education and the Workforce,ED00,1,,H.Res.10,2021-01-04,,
