congress,date,resolution,committee,member,rank,role,rank_after
106,1999-01-06,H.Res.6,International Relations,Mr. Burton of Indiana,7,,
106,1999-01-06,H.Res.6,International Relations,Mr. Gallegly (when sworn),8,,
106,1999-01-06,H.Res.6,International Relations,Ms. Ros-Lehtinen,9,,
106,1999-01-06,H.Res.6,International Relations,Mr. Ballenger,10,,
106,1999-01-06,H.Res.6,International Relations,Mr. Rohrabacher,11,,
106,1999-01-06,H.Res.6,International Relations,Mr. Manzullo,12,,
106,1999-01-06,H.Res.6,International Relations,Mr. Royce,13,,
106,1999-01-06,H.Res.6,International Relations,Mr. King,14,,
106,1999-01-06,H.Res.6,International Relations,Mr. Chabot,15,,
106,1999-01-06,H.Res.6,International Relations,Mr. Sanford,16,,
106,1999-01-06,H.Res.6,International Relations,Mr. Salmon,17,,
106,1999-01-06,H.Res.6,International Relations,Mr. Houghton,18,,
106,1999-01-06,H.Res.6,International Relations,Mr. Campbell,19,,
106,1999-01-06,H.Res.6,International Relations,Mr. McHugh,20,,
106,1999-01-06,H.Res.6,International Relations,Mr. Brady of Texas,21,,
106,1999-01-06,H.Res.6,International Relations,Mr. Burr of North Carolina,22,,
106,1999-01-06,H.Res.6,International Relations,Mr. Gillmor,23,,
106,1999-01-06,H.Res.6,International Relations,Mr. Radanovich,24,,
106,1999-01-06,H.Res.6,International Relations,Mr. Cooksey,25,,
106,1999-01-06,H.Res.6,International Relations,Mr. Tancredo,26,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Hyde,1,Chairman,
106,1999-01-06,H.Res.6,Judiciary,Mr. Sensenbrenner,2,,
106,1999-01-06,H.Res.6,Judiciary,Mr. McCollum,3,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Gekas,4,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Coble,5,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Smith of Texas,6,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Gallegly (when sworn),7,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Canady,8,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Goodlatte,9,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Buyer,10,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Bryant,11,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Chabot,12,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Barr of Georgia,13,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Jenkins,14,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Hutchinson,15,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Pease,16,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Cannon,17,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Rogan,18,,
106,1999-01-06,H.Res.6,Judiciary,Mr. Graham,19,,
106,1999-01-06,H.Res.6,Judiciary,Mrs. Bono,20,,
106,1999-01-06,H.Res.6,Resources,Mr. Young of Alaska,1,Chairman,
106,1999-01-06,H.Res.6,Resources,Mr. Tauzin,2,,
106,1999-01-06,H.Res.6,Resources,Mr. Hansen,3,,
106,1999-01-06,H.Res.6,Resources,Mr. Saxton,4,,
106,1999-01-06,H.Res.6,Resources,Mr. Gallegly (when sworn),5,,
106,1999-01-06,H.Res.6,Resources,Mr. Duncan,6,,
106,1999-01-06,H.Res.6,Resources,Mr. Hefley,7,,
106,1999-01-06,H.Res.6,Resources,Mr. Doolittle,8,,
106,1999-01-06,H.Res.6,Resources,Mr. Gilchrest,9,,
106,1999-01-06,H.Res.6,Resources,Mr. Calvert,10,,
106,1999-01-06,H.Res.6,Resources,Mr. Pombo,11,,
106,1999-01-06,H.Res.6,Resources,Mrs. Cubin,12,,
106,1999-01-06,H.Res.6,Resources,Mrs. Chenoweth,13,,
106,1999-01-06,H.Res.6,Resources,Mr. Radanovich,14,,
106,1999-01-06,H.Res.6,Resources,Mr. Jones,15,,
106,1999-01-06,H.Res.6,Resources,Mr. Thornberry,16,,
106,1999-01-06,H.Res.6,Resources,Mr. Cannon,17,,
106,1999-01-06,H.Res.6,Resources,Mr. Brady of Texas,18,,
106,1999-01-06,H.Res.6,Resources,Mr. Peterson of Pennsylvania,19,,
106,1999-01-06,H.Res.6,Resources,Mr. Hill of Montana,20,,
106,1999-01-06,H.Res.6,Resources,Mr. Schaffer,21,,
106,1999-01-06,H.Res.6,Resources,Mr. Gibbons,22,,
106,1999-01-06,H.Res.6,Resources,Mr. Souder,23,,
106,1999-01-06,H.Res.6,Resources,Mr. Walden,24,,
106,1999-01-06,H.Res.6,Resources,Mr. Sherwood,25,,
106,1999-01-06,H.Res.6,Resources,Mr. Hayes,26,,
